"interest"	"a_0"	"a_30"	"a_60"	"A_0"	"A_30"	"A_60"
0	1	1	1	1	1	1
0.01	0.734599526427985	0.832394673584	0.9277193248149	0.540586452558758	0.718174619852564	0.896728266168199
0.02	0.561216204956714	0.703709046655482	0.863641578787918	0.300292454514474	0.525128269478614	0.808253283888168
0.03	0.44391104160405	0.603404771327262	0.806595881894686	0.171789600793757	0.391000617324348	0.732062076026202
0.04	0.361827884761398	0.524085049428312	0.75560542761609	0.101453719052066	0.296466456999549	0.66612021941046
0.05	0.302538543804795	0.460491425357906	0.709851591180076	0.0620038646649157	0.228874352194421	0.608772487602329
0.06	0.258437589283268	0.408838427762355	0.668645271594854	0.0393021482931282	0.179846477117436	0.558665607118636
0.07	0.224746299857134	0.366367262388001	0.631403902927313	0.0258818603663306	0.143771235588688	0.51468791031108
0.08	0.198382997831803	0.331043076362091	0.597632929506964	0.0177222853560489	0.116846821621406	0.475921962116596
0.09	0.177309460366078	0.301347333976602	0.56691081209781	0.0126147633252218	0.096468145277693	0.441607196454086
0.1	0.160144343973192	0.276133869205448	0.538876839564445	0.00932097355442156	0.0808298613223977	0.411110311608401
0.11	0.145929471716633	0.254528015448911	0.513221179353864	0.00713192645390699	0.0686667331326695	0.383901707689266
0.12	0.133985443708267	0.235855177229785	0.489676722199242	0.00563289947236306	0.059082118961981	0.359536650380345
0.13	0.123820515503775	0.219589728544961	0.468012370730752	0.00457594096113477	0.0514335452067796	0.337640148048634
0.14	0.115071888328013	0.205318084489166	0.44802749480156	0.00380948343435485	0.0452556132634645	0.317894758979584
0.15	0.107467114945912	0.192711752162748	0.429547333293125	0.00323878182565154	0.0402075518572678	0.300030720486005
0.16	0.100798233773548	0.181507475229299	0.412419166712349	0.00280326972178376	0.0360371908306853	0.283817925522028
0.17	0.0949041098567293	0.171492468186097	0.396509119878823	0.00246335878358479	0.0325559778668594	0.269059375307741
0.18	0.0896581646944375	0.162493335980955	0.381699481585799	0.00219259959322112	0.0296214892274832	0.255585815848522
0.19	0.0849597070980554	0.154367685968361	0.36788644995372	0.00197293912310448	0.0271250721619423	0.24325132773303
0.2	0.0807277111615333	0.146997723901894	0.354978229544879	0.00179179782149132	0.0249830327720418	0.231929686433817
0.21	0.0768962840462556	0.140285324400627	0.342893420144809	0.00164023455720097	0.0231302950673509	0.221511347695105
0.22	0.0734113185501374	0.13414820623057	0.331559648191994	0.0015117732605065	0.0215157974639127	0.211900941881927
0.23	0.0702279884426225	0.128516942040616	0.320912400734952	0.00140163901508886	0.0200991213421403	0.203015184213833
0.24	0.0673088515116019	0.123332603240774	0.310894028968206	0.00130625186314429	0.0188480006784083	0.194781126011915
0.25	0.0646223964996632	0.118544891947464	0.301452894200343	0.00122288556511935	0.0177364669970592	0.187134686519992
0.26	0.0621419182202287	0.114110649155816	0.292542633815909	0.00114943369812488	0.0167434561824582	0.180019416342412
0.27	0.0598446380866	0.109992655562391	0.284121528626813	0.00108424673695121	0.0158517537446172	0.173385452707215
0.28	0.0577110101369596	0.106158661570623	0.276151956140653	0.00102601681808968	0.0150471900561313	0.167188634106261
0.29	0.0557241686854104	0.102580597949085	0.268599916839538	0.000973695025885669	0.0143180216316191	0.161389747765952
0.3	0.0538694851322284	0.0992339297865626	0.261434622672188	0.000926431188157996	0.0136544519126354	0.155953888161653
0.31	0.0521342096609516	0.0960971248027082	0.254628138700866	0.000883529472417832	0.0130482574309138	0.150849908639381
0.32	0.0505071795016417	0.0931512134518788	0.248155070282311	0.000844415224106391	0.0124924941420781	0.14604995133337
0.33	0.0489785798063792	0.0903794231239903	0.241992289353909	0.000808609907183466	0.0119812651781206	0.14152904311212
0.34	0.0475397464177745	0.0877668724816448	0.236118694387478	0.000775711956316752	0.0115095359728457	0.137264747362946
0.35	0.0461830022293614	0.0853003148573729	0.230514999399504	0.000745381992814388	0.011072986168123	0.133236863126419
0.36	0.0449015206600449	0.0829679218753854	0.225163548097551	0.000717331297503896	0.0106678902604272	0.129427164489597
0.37	0.0436892111509053	0.0807591002123671	0.22004814982171	0.000691312740037856	0.0102910208447393	0.125819174298151
0.38	0.0425406226546834	0.0786643357863977	0.215153934426635	0.000667113579279526	0.00993956973315729	0.122397967198405
0.39	0.0414508619079974	0.0766750607483594	0.210467223659728	0.000644549702289049	0.00961108329526452	0.119149997808039
0.4	0.0404155239135151	0.0747835395114804	0.205975416937343	0.000623460979203772	0.00930340917790402	0.116062950468401
0.41	0.0394306325578971	0.0729827707415672	0.201666889714022	0.000603707490945261	0.00901465217994539	0.113125607576192
0.42	0.038492589683969	0.0712664027809508	0.197530902888564	0.000585166445031612	0.00874313753145329	0.110327733947152
0.43	0.0375981312466557	0.0696286604223485	0.193557521902308	0.000567729637921346	0.00848738019204742	0.107659975045095
0.44	0.0367442894301033	0.0680642813072468	0.189737544365405	0.000551301354509285	0.00824605906656744	0.105113767229137
0.45	0.0359283598020301	0.0665684605145133	0.186062435200922	0.000535796619621296	0.00801799525703518	0.102681258440638
0.46	0.0351478727413356	0.0651368021423794	0.182524268428588	0.000521139734733766	0.0078021336430076	0.100355237978021
0.47	0.0344005685045052	0.0637652768813849	0.17911567482317	0.000507263047194799	0.0075975272187661	0.0981290741990549
0.48	0.0336843754016944	0.0624501847357407	0.17582979477981	0.000494105910045684	0.00740332372372335	0.0959966591524293
0.49	0.0329973906394614	0.0611881221825094	0.172660235802494	0.00048161379893432	0.00721875418828478	0.0939523592781402
0.5	0.0323378634577689	0.0599759531672901	0.169601034104197	0.000469737559165458	0.00704312308601197	0.0919909714333738
